TAZ_New,District
107,1
123,1
1526,15
519,5
106,1
1534,15
539,5
307,3
121,1
1208,12
2322,23
1007,10
205,2
1716,17
1123,11
1112,11
503,5
1509,15
1912,19
1212,12
1211,12
1704,17
1713,17
513,5
3202,32
611,6
130,1
2309,23
1840,18
716,7
712,7
1002,10
1021,10
1012,10
1008,10
803,8
805,8
518,5
203,2
1207,12
1714,17
609,6
1515,15
517,5
1519,15
3406,34
2316,23
3603,36
1612,16
1210,12
1103,11
515,5
1411,14
3401,34
911,9
1910,19
1514,15
1003,10
1502,15
1001,10
908,9
2311,23
2312,23
802,8
3005,30
2703,27
722,7
2204,22
2319,23
401,4
3206,32
1301,13
1302,13
1313,13
1324,13
1304,13
1310,13
1009,10
1220,12
1005,10
1209,12
3101,31
3102,31
3103,31
3105,31
1320,13
3111,31
3112,31
3106,31
3107,31
3109,31
3110,31
2712,27
3207,32
412,4
408,4
3616,36
2705,27
2708,27
2709,27
3301,33
308,3
102,1
2305,23
2304,23
117,1
332,3
318,3
306,3
334,3
324,3
304,3
3610,36
3602,36
3605,36
3611,36
3618,36
3617,36
3604,36
3615,36
3609,36
1504,15
1511,15
1510,15
1503,15
313,3
311,3
309,3
320,3
322,3
323,3
201,2
210,2
915,9
916,9
536,5
504,5
541,5
603,6
524,5
511,5
540,5
903,9
415,4
2328,23
2218,22
2235,22
2239,22
516,5
605,6
606,6
3211,32
101,1
126,1
104,1
132,1
2242,22
131,1
3212,32
3204,32
608,6
610,6
714,7
523,5
713,7
501,5
721,7
502,5
526,5
710,7
2307,23
1315,13
1312,13
1314,13
806,8
810,8
827,8
828,8
831,8
821,8
832,8
2306,23
2001,20
1329,13
1316,13
2003,20
2006,20
2002,20
3614,36
3608,36
2416,24
847,8
833,8
830,8
829,8
1825,18
1824,18
1507,15
2603,26
2611,26
213,2
208,2
202,2
209,2
335,3
204,2
317,3
321,3
2612,26
2610,26
2604,26
2501,25
2008,20
206,2
1414,14
2513,25
2526,25
2507,25
2512,25
2606,26
128,1
3402,34
1512,15
520,5
850,8
820,8
2213,22
2221,22
1812,18
1811,18
1823,18
1810,18
1804,18
1803,18
1801,18
720,7
719,7
1408,14
1415,14
2522,25
2202,22
2233,22
2215,22
2203,22
2219,22
2220,22
2211,22
2412,24
120,1
113,1
115,1
119,1
112,1
116,1
111,1
2207,22
105,1
2212,22
2224,22
2245,22
108,1
124,1
109,1
118,1
125,1
2228,22
110,1
127,1
103,1
813,8
2243,22
129,1
315,3
1410,14
3303,33
1435,14
2302,23
310,3
316,3
2106,21
2111,21
2103,21
1423,14
3502,35
3321,33
1517,15
1513,15
2403,24
2415,24
2411,24
3316,33
1516,15
1523,15
1521,15
1607,16
715,7
2113,21
708,7
723,7
709,7
404,4
403,4
407,4
703,7
1711,17
1712,17
704,7
726,7
707,7
702,7
724,7
706,7
1715,17
725,7
825,8
1901,19
1813,18
1902,19
1914,19
1814,18
1816,18
1903,19
1915,19
1905,19
1906,19
1908,19
3021,30
3011,30
3013,30
1110,11
1907,19
1918,19
3108,31
3104,31
1117,11
1107,11
1114,11
1111,11
1116,11
1849,18
1818,18
1820,18
818,8
1015,10
816,8
1013,10
2225,22
1214,12
411,4
1836,18
1806,18
1808,18
1828,18
