District,0,1,2,3,4,5,6,7,8,9,10,11
1,13474,27039,10141,1813,644,233,46,54,0,0,0,0
2,12723,32267,23541,6475,2254,1008,405,0,22,0,0,0
3,8820,41210,45991,15362,5371,2132,513,282,30,11,22,0
4,4060,44413,88354,37080,14655,5353,1268,586,148,56,212,0
5,9343,68580,88845,32421,11582,4336,1222,390,145,26,50,0
6,3538,27808,35188,12804,5004,1875,459,175,21,13,0,0
7,6,121,171,56,94,17,10,0,0,0,0,0
8,10803,57207,56129,18582,6007,2120,309,203,37,0,33,0
9,3024,25993,36473,14949,5611,1652,538,192,101,0,54,0
10,7697,59195,77954,28624,10679,3575,860,392,50,141,47,0
11,4873,33305,38821,13315,4503,1201,377,79,36,19,78,0
12,5367,43866,54609,18298,6469,2685,732,210,85,52,68,0
13,4956,34561,47878,16628,6133,2076,747,157,50,25,26,0
14,4403,25575,31867,11159,4074,1173,225,111,14,4,64,16
15,7411,78898,127040,54734,22459,7508,1789,697,316,142,180,0
16,0,0,7,0,0,0,0,0,0,0,0,0
17,0,63,121,127,34,36,11,0,0,0,0,0
18,4955,55849,92987,37525,14681,5258,1516,425,208,95,116,14
19,2280,34422,77195,37533,16725,6337,1530,555,364,84,174,0
20,557,4147,5151,1490,612,123,18,10,0,0,0,0
21,1420,25240,52112,24349,11243,3807,1215,491,165,53,71,0
22,29242,96737,54604,12270,3733,1637,395,78,34,3,0,0
23,7720,53220,71327,26026,10371,3538,966,329,108,13,28,0
24,1352,24038,51028,20092,8388,2779,824,426,162,64,90,0
25,2335,26199,48440,19809,8034,2633,662,348,144,47,72,0
26,632,9362,18552,8157,3146,1356,452,213,30,10,32,0
27,533,8957,21598,10342,4391,1664,364,135,61,15,44,0
28,268,3631,2028,497,161,52,0,30,0,0,6,0
29,12,73,451,468,402,265,88,61,15,0,36,0
30,180,2194,3527,1510,840,217,41,10,0,0,7,0
31,0,6,53,22,9,0,0,0,0,0,0,0
32,3630,35425,54683,24966,10285,3112,1039,409,105,39,149,0
33,1155,16445,34883,13430,5050,1624,446,152,58,79,72,17
34,31,366,1711,1659,1142,360,219,21,0,0,59,0
36,21,179,164,97,19,0,0,0,9,0,0,0
37,11,157,98,41,10,13,0,0,0,0,0,0
38,4,84,352,191,77,8,15,0,9,0,0,0
39,22,128,206,101,31,52,0,29,0,0,0,0
40,15,306,551,344,154,140,15,9,0,0,0,0
41,3230,50476,109541,46262,18810,6636,1636,712,263,184,235,0
42,881,17481,39610,17485,6746,2349,583,307,58,54,173,0
43,1373,23578,50246,21206,7137,1907,633,496,146,48,99,0
44,3403,54045,123179,50440,18710,5443,1616,644,266,105,126,37
45,2200,40941,83709,31782,10406,3225,1170,520,170,53,164,4
46,280,10251,30170,12274,4499,1653,451,314,87,52,77,14
47,20,451,721,397,261,57,38,0,0,0,0,0
48,3,59,253,182,122,21,0,0,0,0,0,0
49,15,597,936,404,145,46,42,0,0,0,0,0
50,0,153,473,273,217,85,35,0,25,0,30,0
51,38,1426,5075,3260,1655,650,332,224,20,21,19,0
52,185,8943,34668,20264,9352,2955,1319,600,144,168,91,0
53,60,3437,10769,6244,2796,734,593,120,29,32,22,26
54,271,8587,23248,12258,4652,1653,752,269,166,39,88,0
55,301,13616,43344,24297,10872,3424,1374,599,138,29,201,0
56,41,2836,8325,5635,2412,685,412,207,59,32,70,0
57,375,16463,43966,21443,10028,2885,1365,498,168,44,98,0
58,130,4262,12728,7515,2899,952,425,128,39,29,48,0
59,124,4185,10245,6684,3052,983,606,167,112,14,53,0
