District,"0-$30,000","$30,000-$60,000","$60,000-$100,000","$100,000-$125,000","$125,000-$150,000","$150,000+"
1,13680,13514,14531,4350,2350,5019
2,15797,15689,18692,8492,5961,14064
3,12715,20051,29449,14617,11728,31184
4,6507,16012,33990,24449,22504,92723
5,18403,34686,52542,28580,21758,60971
6,6474,16100,25038,11996,9631,17646
7,18,72,108,132,52,93
8,21430,33754,43533,19529,12891,20293
9,6633,13519,23130,14513,10716,20076
10,16544,36114,53436,28765,21221,33134
11,11132,18240,26533,13140,9847,17715
12,9394,22230,39179,20687,14921,26030
13,8110,16960,26352,15194,13078,33543
14,7106,13075,19094,10905,9010,19495
15,18227,45967,83424,47769,38262,67525
16,0,7,0,0,0,0
17,8,54,45,56,111,118
18,9908,27669,53497,34084,28549,59922
19,5057,16983,41159,27497,25487,61016
20,1201,2470,4134,1624,1060,1619
21,2877,11878,32279,20922,17572,34638
22,32342,45035,53304,22767,15294,29991
23,11639,26399,41701,23357,19723,50827
24,2408,8791,25785,18745,16122,37392
25,3537,9423,23466,17021,15141,40135
26,1531,3494,8913,6173,5213,16618
27,1058,3404,10178,8015,7411,18038
28,921,2231,2272,637,144,468
29,48,197,506,291,348,481
30,835,2145,2200,963,854,1529
31,6,8,31,23,0,22
32,7482,18352,32217,18033,13440,44318
33,2054,5431,15105,12056,10913,27852
34,214,356,1057,1052,911,1978
36,102,69,140,86,32,60
37,83,118,51,33,14,31
38,65,92,134,71,200,178
39,52,113,155,46,32,171
40,143,189,246,283,136,537
41,7910,21532,45878,32245,30857,99563
42,3572,8278,17024,13021,11667,32165
43,6295,12118,24354,17672,14381,32049
44,8310,22251,50579,36062,33687,107125
45,8560,20979,38567,27666,23277,55295
46,1708,4178,10518,8845,8919,25954
47,194,371,480,166,188,546
48,43,100,144,104,32,217
49,254,321,499,237,237,637
50,64,61,348,248,136,434
51,519,1258,2087,1485,1850,5521
52,2426,5555,12323,9727,9014,39644
53,1311,2338,5051,3545,2815,9802
54,3295,6942,12776,8496,6509,13965
55,4760,10413,19877,12995,11703,38447
56,1906,2765,4983,3328,2613,5119
57,4107,8375,22043,14219,13303,35286
58,1515,3545,6390,4258,3759,9688
59,2497,4033,6248,3838,3078,6531
